artist_name,genre,popularity,followers,external_url
Joe Nichols,"arkansas country, contemporary country, country, country road",58,792574,https://open.spotify.com/artist/4aJTB79uwT4sP0Nb8QGWHc
Drew Baldridge,"country pop, modern country pop",53,109763,https://open.spotify.com/artist/08qaG5crPMPF7i0h2wORk5
Chase Rice,"contemporary country, country, country road, modern country rock",61,1194126,https://open.spotify.com/artist/6pBNfggcZZDCmb0p92OnGn
Scotty McCreery,"contemporary country, country, country road, modern country rock",60,1032588,https://open.spotify.com/artist/6ZV6lGY0prbqpTD0Md8i29
Ashley Walls,athens indie,27,5658,https://open.spotify.com/artist/1sO7K6dVf1ZYa4XNZVozBw
Josh Ross,modern country pop,66,115325,https://open.spotify.com/artist/1ZGTSMjK1D2HrpPTOh916U
Jay Webb,modern country pop,62,147680,https://open.spotify.com/artist/74a1KhMBkw4iweAtpbjuHk
David Morris,modern country pop,58,104066,https://open.spotify.com/artist/23Pb3oXBOQj9WEziS6laUW
Jon Langston,"contemporary country, country pop, country road, modern country rock",50,367346,https://open.spotify.com/artist/4BANbHDs1IluagTx5eRW2P
Zach John King,,40,5395,https://open.spotify.com/artist/7d00Y5kG1ZIPvWNl8LgHqB
Hannah Ellis,country pop,40,37109,https://open.spotify.com/artist/6jHWWttC33OQdEDnUXtYrq
Tyler Joe Miller,canadian contemporary country,40,9346,https://open.spotify.com/artist/1MmpCgmJymS8Etwm9RxuxM
James Johnston,australian country,53,68779,https://open.spotify.com/artist/69HMYPrcstafeCTHI3Dcp1
The Oak Ridge Boys,"classic country pop, country, country road, country rock",54,577588,https://open.spotify.com/artist/3XnO697XIus1M0cMuxZjos
Julia DiGrazia,,60,7962,https://open.spotify.com/artist/3bz9DtEGIYBic48d2q5m4R
Cody Jinks,"classic texas country, modern southern rock, outlaw country",65,1056844,https://open.spotify.com/artist/2v7wIbCkIzxOfT3GnqCexD
Sam Grow,"country pop, modern country pop",48,34056,https://open.spotify.com/artist/4cFA9cxl7v3CrFYxOOXsSs
Julia Cole,"country pop, modern country pop",51,86293,https://open.spotify.com/artist/48rpE75ZIsnfNFyojfYene
Clever,alabama rap,57,86341,https://open.spotify.com/artist/5yy76ufVriyvidNSvXlRU1
CeCe,,42,77964,https://open.spotify.com/artist/3o3cMu8wu8ANNYLo660Sgs
Seaforth,country pop,46,42079,https://open.spotify.com/artist/1ryJB2bhfYjjIt8kqy4BoG
Hayden Blount,,49,7466,https://open.spotify.com/artist/3lMuNq4oBlVIMBJcpAuT4j
Jimmy Clifton,christian indie folk,50,95104,https://open.spotify.com/artist/2G0M287MWFHQB1dE4RwW7t
Lanie Gardner,,48,81025,https://open.spotify.com/artist/5lhCycgJCjQIMpWNk4DycY
Tyler Halverson,red dirt,46,26167,https://open.spotify.com/artist/3oFu5CCLk4p4zLBNo3wrai
Fancy Hagood,,37,11165,https://open.spotify.com/artist/1klmpKnfBdJkVqr94BnuOF
Angie K,,38,19352,https://open.spotify.com/artist/7tk53T02nvDYOvWz5T9qZL
Nate Good,"deep underground hip hop, indie pop rap",48,78105,https://open.spotify.com/artist/2OPyK48uFk5aZ8GKWa5FPl
Eli Winders,,39,6921,https://open.spotify.com/artist/1FrotTX0L8LcXNxuigzB0w
William Beckmann,texas country,40,32281,https://open.spotify.com/artist/3AJURVT7BuD01gl1nQS5tb
Aidan Canfield,,35,9253,https://open.spotify.com/artist/2ioXm53iT5CaTN1ymEv3Yw
Kasey Tyndall,country pop,34,17321,https://open.spotify.com/artist/08fvWshbReeOVorxMtddh2
Ryan Waters Band,modern country pop,45,86066,https://open.spotify.com/artist/3R2ZcnOHyjuj0a61bq9GTi
Mason Horne,modern country pop,34,18930,https://open.spotify.com/artist/341ntJveJBpKhKj316dttw
Neil Perry,,0,21,https://open.spotify.com/artist/2aicawvEwDKqN67GLGyy71
Caitlynne Curtis,,45,42023,https://open.spotify.com/artist/5m984rwcMVTObo3jCSzDCf
Coffey Anderson,,49,101214,https://open.spotify.com/artist/29YJnMJ7MoLKPM04siMnP5
Ty March.,"country pop, modern country pop",42,26577,https://open.spotify.com/artist/0h7b5szTqHKm5sJNkAGqfw
Dylan Wright,,35,15483,https://open.spotify.com/artist/0XjUzkpgj8t1MnxhROumUe
Trea Landon,country pop,34,24132,https://open.spotify.com/artist/0uzF7KK6coJpJvOW6Vrv1H
Dipper,,26,2011,https://open.spotify.com/artist/1FlF6uL7RBozryZZKSTOs5
Austin Burke,"country pop, modern country pop",42,63798,https://open.spotify.com/artist/5jfImMkUYyViFJrhdfYt1c
